threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.34,1.0,0.51,0.34
0.1,0.37,0.95,0.54,0.44
0.15,0.43,0.9,0.58,0.55
0.2,0.48,0.84,0.61,0.64
0.25,0.57,0.78,0.65,0.72
0.3,0.61,0.72,0.66,0.75
0.35,0.67,0.68,0.68,0.77
0.4,0.72,0.63,0.68,0.79
0.45,0.77,0.6,0.68,0.8
0.5,0.8,0.57,0.66,0.8
0.55,0.84,0.52,0.64,0.8
0.6,0.86,0.49,0.62,0.8
0.65,0.87,0.45,0.59,0.79
0.7,0.91,0.43,0.59,0.79
0.75,0.94,0.4,0.56,0.78
0.8,0.96,0.34,0.5,0.77
0.85,0.98,0.28,0.43,0.75
0.9,1.0,0.23,0.37,0.73
0.95,1.0,0.11,0.2,0.69
1.0,0.0,0.0,0.0,0.66
