threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.36,1.0,0.52,0.38
0.1,0.39,0.98,0.56,0.46
0.15,0.49,0.89,0.63,0.64
0.2,0.66,0.81,0.73,0.79
0.25,0.74,0.76,0.75,0.82
0.3,0.78,0.75,0.76,0.84
0.35,0.83,0.74,0.78,0.86
0.4,0.84,0.73,0.78,0.86
0.45,0.88,0.72,0.79,0.87
0.5,0.88,0.69,0.78,0.86
0.55,0.91,0.67,0.77,0.86
0.6,0.92,0.64,0.76,0.86
0.65,0.95,0.59,0.73,0.85
0.7,0.97,0.58,0.73,0.85
0.75,0.98,0.53,0.69,0.84
0.8,0.99,0.48,0.64,0.82
0.85,0.99,0.46,0.63,0.81
0.9,0.99,0.43,0.6,0.8
0.95,1.0,0.33,0.5,0.77
1.0,0.0,0.0,0.0,0.66
